,ID,corredor_armazem,modo_envio,numero_chamadas_cliente,avaliacao_cliente,custo_produto,compras_anteriores,prioridade_produto,genero,desconto,peso_gramas,entregue_no_prazo,performance_prioridade_envio,performance_modo_envio,faixa_desconto,performance_faixa_desconto
41,42,F,Navio,5,5,139,4,media,M,61,1265,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
42,43,D,Navio,3,5,137,2,media,M,38,1647,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
43,44,F,Navio,3,1,174,2,baixa,M,44,1556,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
44,45,A,Navio,3,1,151,2,baixa,M,29,1328,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
45,46,B,Navio,5,1,210,3,baixa,F,9,2944,1,Não Houve Atraso,Não Houve Atraso,Desconto Abaixo da Media,Entrega no Prazo com Desconto Abaixo da Media
46,47,C,Navio,3,4,169,4,media,F,32,1245,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
47,48,F,Navio,5,1,160,2,baixa,M,32,1576,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
48,49,D,Navio,5,4,190,2,media,M,9,3753,1,Não Houve Atraso,Não Houve Atraso,Desconto Abaixo da Media,Entrega no Prazo com Desconto Abaixo da Media
49,50,F,Navio,5,3,216,3,baixa,F,40,2146,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
50,51,A,Navio,4,1,183,3,baixa,M,37,2042,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
51,52,B,Navio,4,4,141,3,baixa,M,22,1735,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
52,53,C,Navio,4,3,165,3,baixa,F,44,1320,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
53,54,F,Navio,2,1,170,3,baixa,M,41,1128,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
54,55,D,Navio,4,3,203,3,alta,M,12,3539,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
55,56,F,Navio,2,5,246,5,baixa,M,46,2437,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
56,57,A,Navio,3,3,238,3,baixa,F,61,3096,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
57,58,B,Navio,3,3,193,3,media,F,29,3453,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
58,59,C,Navio,5,5,141,3,alta,M,41,1367,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
59,60,F,Navio,4,1,150,3,alta,F,17,1923,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
61,62,F,Navio,3,3,179,3,media,M,52,1158,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
63,64,B,Navio,3,1,177,3,media,M,61,1880,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
64,65,C,Navio,4,5,261,2,alta,M,49,3045,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
65,66,F,Navio,3,2,202,3,baixa,M,49,2881,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
66,67,D,Navio,3,2,109,3,media,F,15,1710,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
67,68,F,Navio,3,3,158,3,baixa,F,6,1878,1,Não Houve Atraso,Não Houve Atraso,Desconto Abaixo da Media,Entrega no Prazo com Desconto Abaixo da Media
68,69,A,Navio,4,2,231,4,media,F,6,2512,1,Não Houve Atraso,Não Houve Atraso,Desconto Abaixo da Media,Entrega no Prazo com Desconto Abaixo da Media
69,70,B,Navio,3,5,206,3,media,M,39,2929,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
70,71,C,Navio,5,1,187,4,alta,M,14,3849,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
71,72,F,Navio,5,5,230,2,baixa,F,2,2229,1,Não Houve Atraso,Não Houve Atraso,Desconto Abaixo da Media,Entrega no Prazo com Desconto Abaixo da Media
72,73,D,Navio,5,5,232,3,media,F,33,2998,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
73,74,F,Navio,4,5,215,3,media,F,21,3984,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
74,75,A,Navio,6,1,238,6,baixa,F,13,2442,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
75,76,B,Navio,4,1,266,3,baixa,F,23,3775,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
76,77,C,Navio,2,3,158,2,media,F,36,1788,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
77,78,F,Navio,3,3,113,3,baixa,F,43,1518,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
78,79,D,Navio,3,4,223,3,baixa,M,18,3959,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
79,80,F,Navio,3,5,257,2,media,F,56,3711,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
80,81,A,Navio,3,4,180,2,media,F,49,1942,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
81,82,B,Navio,2,5,132,3,baixa,M,18,1759,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
82,83,C,Navio,4,4,217,3,alta,F,26,2875,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
83,84,F,Navio,5,5,162,3,alta,F,31,1364,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
84,85,D,Navio,4,5,197,2,media,F,40,2710,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
85,86,F,Navio,3,4,197,3,media,M,13,2148,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
86,87,A,Navio,4,1,185,2,baixa,M,44,2910,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
87,88,B,Navio,6,2,278,3,media,F,3,2974,1,Não Houve Atraso,Não Houve Atraso,Desconto Abaixo da Media,Entrega no Prazo com Desconto Abaixo da Media
88,89,C,Navio,3,3,229,3,baixa,M,49,2339,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
89,90,F,Navio,4,1,186,4,media,F,57,3880,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
90,91,D,Navio,5,3,174,6,alta,F,41,1085,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
91,92,F,Navio,5,5,286,3,baixa,F,18,3163,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
92,93,A,Navio,4,4,175,2,media,F,7,1188,1,Não Houve Atraso,Não Houve Atraso,Desconto Abaixo da Media,Entrega no Prazo com Desconto Abaixo da Media
93,94,B,Navio,3,3,219,3,media,F,17,3387,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
94,95,C,Navio,4,1,213,4,alta,F,35,2343,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
95,96,F,Navio,2,3,235,3,baixa,M,57,2034,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
96,97,D,Navio,3,3,149,2,media,M,18,1225,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
97,98,F,Navio,4,1,271,2,media,F,8,2401,1,Não Houve Atraso,Não Houve Atraso,Desconto Abaixo da Media,Entrega no Prazo com Desconto Abaixo da Media
98,99,A,Navio,3,5,144,4,media,M,5,1104,1,Não Houve Atraso,Não Houve Atraso,Desconto Abaixo da Media,Entrega no Prazo com Desconto Abaixo da Media
99,100,B,Navio,4,2,145,2,media,M,21,1617,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
100,101,C,Navio,5,3,143,2,media,M,59,1837,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
101,102,F,Navio,5,5,227,4,baixa,M,53,2624,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
102,103,D,Navio,2,1,213,3,baixa,M,29,2732,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
103,104,F,Navio,5,1,144,4,baixa,M,37,1658,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
104,105,A,Navio,3,3,218,3,baixa,M,3,2255,1,Não Houve Atraso,Não Houve Atraso,Desconto Abaixo da Media,Entrega no Prazo com Desconto Abaixo da Media
105,106,B,Navio,4,2,144,3,media,M,59,1588,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
106,107,C,Navio,3,1,238,3,baixa,M,17,2624,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
107,108,F,Navio,4,5,216,3,alta,M,26,2053,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
108,109,D,Navio,4,5,238,3,alta,F,55,3257,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
109,110,F,Navio,4,1,141,3,media,M,47,1250,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
110,111,A,Caminhao,3,1,158,2,baixa,M,2,1284,1,Não Houve Atraso,Não Houve Atraso,Desconto Abaixo da Media,Entrega no Prazo com Desconto Abaixo da Media
112,113,C,Caminhao,4,3,175,2,baixa,M,25,1816,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
113,114,F,Caminhao,3,2,263,3,baixa,M,41,2817,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
114,115,D,Caminhao,3,5,168,2,alta,M,50,1616,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
115,116,F,Caminhao,3,4,176,3,alta,M,36,1779,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
116,117,A,Caminhao,4,1,150,4,alta,M,60,1024,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
117,118,B,Caminhao,4,3,265,2,media,F,31,2326,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
118,119,C,Caminhao,2,5,263,3,baixa,F,5,2947,1,Não Houve Atraso,Não Houve Atraso,Desconto Abaixo da Media,Entrega no Prazo com Desconto Abaixo da Media
119,120,F,Caminhao,5,1,145,3,baixa,M,20,1387,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
120,121,D,Caminhao,4,2,183,3,baixa,F,33,2741,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
121,122,F,Caminhao,3,3,205,3,media,F,19,2167,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
123,124,B,Caminhao,3,3,252,2,media,F,48,2102,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
124,125,C,Caminhao,5,5,222,3,baixa,M,10,2280,1,Não Houve Atraso,Não Houve Atraso,Desconto Abaixo da Media,Entrega no Prazo com Desconto Abaixo da Media
125,126,F,Caminhao,3,3,203,2,baixa,M,25,3607,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
126,127,D,Caminhao,4,5,220,3,media,M,40,3516,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
127,128,F,Caminhao,3,3,147,4,baixa,F,60,1722,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
128,129,A,Caminhao,4,4,200,4,media,M,16,2060,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
129,130,B,Caminhao,4,5,224,4,media,M,21,2026,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
130,131,C,Caminhao,3,5,179,2,baixa,F,17,1364,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
131,132,F,Caminhao,3,4,144,3,baixa,M,50,1865,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
132,133,D,Aviao,5,2,247,3,baixa,M,17,3889,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
133,134,F,Aviao,5,4,280,6,media,F,51,3582,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
134,135,A,Aviao,3,3,168,2,media,F,1,1829,1,Não Houve Atraso,Não Houve Atraso,Desconto Abaixo da Media,Entrega no Prazo com Desconto Abaixo da Media
135,136,B,Aviao,3,5,157,3,media,F,4,1889,1,Não Houve Atraso,Não Houve Atraso,Desconto Abaixo da Media,Entrega no Prazo com Desconto Abaixo da Media
136,137,C,Aviao,3,3,189,4,media,F,51,2208,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
137,138,F,Aviao,3,5,162,2,media,M,7,1739,1,Não Houve Atraso,Não Houve Atraso,Desconto Abaixo da Media,Entrega no Prazo com Desconto Abaixo da Media
138,139,D,Aviao,4,1,207,5,baixa,M,48,2399,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
139,140,F,Aviao,5,1,237,2,baixa,F,10,3860,1,Não Houve Atraso,Não Houve Atraso,Desconto Abaixo da Media,Entrega no Prazo com Desconto Abaixo da Media
140,141,A,Aviao,4,4,264,3,alta,M,59,2020,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
141,142,B,Aviao,5,4,149,3,baixa,M,51,1645,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
142,143,C,Aviao,5,5,162,3,baixa,M,41,1462,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
144,145,D,Aviao,2,1,158,3,media,F,51,1540,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
145,146,F,Aviao,2,2,248,2,baixa,M,46,3707,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
146,147,A,Aviao,3,5,191,3,baixa,M,23,3750,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
147,148,B,Aviao,4,3,146,4,media,F,24,1844,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
148,149,C,Aviao,3,3,135,3,baixa,M,56,1490,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
149,150,F,Aviao,5,1,149,3,baixa,M,40,1062,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
150,151,D,Aviao,4,4,220,2,media,F,7,2551,1,Não Houve Atraso,Não Houve Atraso,Desconto Abaixo da Media,Entrega no Prazo com Desconto Abaixo da Media
151,152,F,Aviao,5,3,98,5,media,M,44,1269,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
152,153,A,Aviao,3,4,97,4,baixa,M,32,1238,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
153,154,B,Aviao,3,3,183,2,baixa,M,53,3932,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
154,155,C,Navio,3,3,162,3,media,F,8,1869,1,Não Houve Atraso,Não Houve Atraso,Desconto Abaixo da Media,Entrega no Prazo com Desconto Abaixo da Media
155,156,F,Navio,5,1,114,4,baixa,F,47,1443,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
156,157,D,Navio,6,3,275,5,baixa,M,41,2491,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
157,158,F,Navio,3,2,203,2,media,F,39,3845,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
160,161,C,Navio,2,2,112,4,media,M,56,1138,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
161,162,F,Navio,3,1,207,3,media,F,56,3482,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
162,163,D,Navio,4,1,261,4,baixa,F,58,3427,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
163,164,F,Navio,5,2,274,3,media,M,6,3375,1,Não Houve Atraso,Não Houve Atraso,Desconto Abaixo da Media,Entrega no Prazo com Desconto Abaixo da Media
164,165,A,Navio,3,5,141,2,baixa,M,52,1692,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
165,166,B,Navio,3,3,166,4,media,F,17,1498,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
166,167,C,Navio,5,2,141,3,alta,F,34,1020,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
167,168,F,Navio,4,5,152,3,baixa,M,43,1709,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
168,169,D,Navio,4,2,250,3,baixa,F,53,2478,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
169,170,F,Navio,4,3,161,3,media,F,28,1809,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
170,171,A,Navio,4,3,185,3,media,F,10,2263,1,Não Houve Atraso,Não Houve Atraso,Desconto Abaixo da Media,Entrega no Prazo com Desconto Abaixo da Media
171,172,B,Navio,4,4,176,4,alta,F,52,1096,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
172,173,C,Navio,3,4,148,3,baixa,M,56,1550,1,Não Houve Atraso,Não Houve Atraso,Desconto Acima da Media,Entrega no Prazo com Desconto Acima da Media
